http://weather.gc.ca/rss/city/bc-36_e.xml, Hope, British Columbia
http://weather.gc.ca/rss/city/bc-31_e.xml, Hope Slide, British Columbia
http://weather.gc.ca/rss/city/bc-72_e.xml, Invermere, British Columbia
http://weather.gc.ca/rss/city/bc-45_e.xml, Kamloops, British Columbia
http://weather.gc.ca/rss/city/bc-48_e.xml, Kelowna, British Columbia
http://weather.gc.ca/rss/city/bc-30_e.xml, Kitimat, British Columbia
http://weather.gc.ca/rss/city/bc-11_e.xml, Kootenay (National Park), British Columbia
http://weather.gc.ca/rss/city/bc-87_e.xml, Liard River, British Columbia
http://weather.gc.ca/rss/city/bc-28_e.xml, Lillooet, British Columbia
http://weather.gc.ca/rss/city/bc-33_e.xml, Lytton, British Columbia
http://weather.gc.ca/rss/city/bc-90_e.xml, Mackenzie, British Columbia
http://weather.gc.ca/rss/city/bc-29_e.xml, Malahat, British Columbia
http://weather.gc.ca/rss/city/bc-56_e.xml, Masset, British Columbia
http://weather.gc.ca/rss/city/bc-47_e.xml, McBride, British Columbia
http://weather.gc.ca/rss/city/bc-49_e.xml, Merritt, British Columbia
http://weather.gc.ca/rss/city/bc-63_e.xml, Muncho Lake, British Columbia
http://weather.gc.ca/rss/city/bc-38_e.xml, Nakusp, British Columbia
http://weather.gc.ca/rss/city/bc-20_e.xml, Nanaimo, British Columbia
http://weather.gc.ca/rss/city/bc-37_e.xml, Nelson, British Columbia
http://weather.gc.ca/rss/city/bc-69_e.xml, Osoyoos, British Columbia
http://weather.gc.ca/rss/city/bc-16_e.xml, Pemberton, British Columbia
http://weather.gc.ca/rss/city/bc-84_e.xml, Penticton, British Columbia
http://weather.gc.ca/rss/city/bc-35_e.xml, Pitt Meadows, British Columbia
http://weather.gc.ca/rss/city/bc-46_e.xml, Port Alberni, British Columbia
http://weather.gc.ca/rss/city/bc-89_e.xml, Port Hardy, British Columbia
http://weather.gc.ca/rss/city/bc-58_e.xml, Powell River, British Columbia
http://weather.gc.ca/rss/city/bc-79_e.xml, Prince George, British Columbia
http://weather.gc.ca/rss/city/bc-57_e.xml, Prince Rupert, British Columbia
http://weather.gc.ca/rss/city/bc-41_e.xml, Princeton, British Columbia
http://weather.gc.ca/rss/city/bc-42_e.xml, Puntzi Mountain, British Columbia
http://weather.gc.ca/rss/city/bc-64_e.xml, Quesnel, British Columbia
http://weather.gc.ca/rss/city/bc-65_e.xml, Revelstoke, British Columbia
http://weather.gc.ca/rss/city/bc-10_e.xml, Rock Creek, British Columbia
http://weather.gc.ca/rss/city/bc-51_e.xml, Salmon Arm, British Columbia
http://weather.gc.ca/rss/city/bc-88_e.xml, Sandspit, British Columbia
http://weather.gc.ca/rss/city/bc-3_e.xml, Sechelt, British Columbia
http://weather.gc.ca/rss/city/bc-82_e.xml, Smithers, British Columbia
http://weather.gc.ca/rss/city/bc-52_e.xml, Sparwood, British Columbia
http://weather.gc.ca/rss/city/bc-50_e.xml, Squamish, British Columbia
http://weather.gc.ca/rss/city/bc-73_e.xml, Stewart, British Columbia
http://weather.gc.ca/rss/city/bc-54_e.xml, Summerland, British Columbia
